Label,Cosine Similarity,ROUGE-1 F1,ROUGE-2 F1,ROUGE-L F1
Scenario 4 vs Source,0.3711962001463345,0.41025641025641024,0.11688311688311688,0.23076923076923075
Scenario 4 vs Benchmark,0.36556782413625355,0.42201834862385323,0.11214953271028037,0.20183486238532114
Scenario 5 vs Source,0.4571699307079536,0.4854368932038835,0.17647058823529413,0.22330097087378642
Scenario 5 vs Benchmark,0.47554918709231664,0.5157232704402516,0.15286624203821658,0.2767295597484277
Benchmark vs Source (Sanity Check),0.292402088685423,0.4,0.10457516339869281,0.1935483870967742
